timestamp,predicted,actual,result,failed,status,reference_open,reference_close,target_open,target_close,model_predictions,best_champion_name,best_champion_family,best_champion_version,workflow_name,workflow_variant,daily_model_refresh,model_refresh_et_date,prediction_generated_at
2026-03-24 22:00:00+00:00,,1.0,,0,missing,70104.9,70332.17,70298.63,70379.8,,,,,,,,,
2026-03-24 23:00:00+00:00,,1.0,,0,missing,70298.63,70379.8,70315.31,70601.73,,,,,,,,,
2026-03-25 00:00:00+00:00,,1.0,,0,missing,70315.31,70601.73,70585.02,70870.25,,,,,,,,,
2026-03-25 12:00:00+00:00,,1.0,,0,missing,71500.0,71664.48,71711.87,71708.87,,,,,,,,,
2026-03-25 13:00:00+00:00,,0.0,,0,missing,71711.87,71708.87,71761.69,71588.93,,,,,,,,,
2026-03-25 14:00:00+00:00,,0.0,,0,missing,71761.69,71588.93,71572.07,71241.59,,,,,,,,,
2026-03-25 15:00:00+00:00,,0.0,,0,missing,71572.07,71241.59,71251.03,70847.7,,,,,,,,,
2026-03-25 16:00:00+00:00,,0.0,,0,missing,71251.03,70847.7,70814.35,71389.33,,,,,,,,,
2026-03-25 17:00:00+00:00,,1.0,,0,missing,70814.35,71389.33,71298.85,70770.47,,,,,,,,,
2026-03-25 18:00:00+00:00,,0.0,,0,missing,71298.85,70770.47,70820.0,70758.48,,,,,,,,,
2026-03-25 19:00:00+00:00,,0.0,,0,missing,70820.0,70758.48,70810.92,70871.53,,,,,,,,,
2026-03-25 20:00:00+00:00,FAILED,,0.0,1,failed,70810.92,70871.53,70850.75,71005.12,{},,,,market-hours-daily,daily_refresh_7am_7pm_et_hourly_predict_8am_8pm_et,False,2026-03-25,2026-03-25T19:30:53.414377+00:00
2026-03-25 21:00:00+00:00,,1.0,,0,missing,70850.75,71005.12,71021.95,71028.09,,,,,,,,,
2026-03-25 22:00:00+00:00,,1.0,,0,missing,71021.95,71028.09,71074.29,71386.09,,,,,,,,,
