timestamp,predicted,actual,result,failed,status,reference_open,reference_close,target_open,target_close,model_predictions,best_champion_name,best_champion_family,best_champion_version,workflow_name,workflow_variant,daily_model_refresh,model_refresh_et_date,prediction_generated_at
2026-03-21 04:00:00+00:00,,0.0,,0,missing,70737.6,70657.35,70657.35,70642.13,,,,,,,,,
2026-03-21 05:00:00+00:00,,0.0,,0,missing,70657.35,70642.13,70642.14,70697.94,,,,,,,,,
2026-03-21 06:00:00+00:00,,1.0,,0,missing,70642.14,70697.94,70697.94,70774.65,,,,,,,,,
2026-03-21 07:00:00+00:00,,1.0,,0,missing,70697.94,70774.65,70773.55,70727.33,,,,,,,,,
2026-03-21 08:00:00+00:00,,0.0,,0,missing,70773.55,70727.33,70727.33,70594.43,,,,,,,,,
2026-03-21 09:00:00+00:00,,0.0,,0,missing,70727.33,70594.43,70594.42,70661.59,,,,,,,,,
2026-03-21 10:00:00+00:00,,1.0,,0,missing,70594.42,70661.59,70661.59,70605.64,,,,,,,,,
2026-03-21 11:00:00+00:00,,0.0,,0,missing,70661.59,70605.64,70605.64,70652.72,,,,,,,,,
2026-03-21 12:00:00+00:00,,1.0,,0,missing,70605.64,70652.72,70652.73,70722.61,,,,,,,,,
2026-03-21 13:00:00+00:00,,1.0,,0,missing,70652.73,70722.61,70722.61,70740.18,,,,,,,,,
2026-03-21 14:00:00+00:00,,1.0,,0,missing,70722.61,70740.18,70740.18,70629.1,,,,,,,,,
